region,Year,week,date,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,AOD_55,CDD18_3,CLOUD_AMT,ET0,EVLAND,EVPTRNS,FRSNO,GWETPROF,HDD18_3,PRECTOTCORR,PS,PW,QV2M,RH2M,RHOA,SNODP,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,TO3,VAP,VPD,WD2M,WS2M,Z0M
usa_11,2013,5,2013-02-01,289.1180714285714,59.863,11.971250000000001,0.12964285714285712,0.055357142857142806,4.464285714285625e-05,53.63428571428572,5.080673137042261,11.875464285714285,0.6221696428571428,0.02407142857142856,0.6261160714285714,9.168223214285714,0.08171428571428568,95.887625,0.9806071428571428,0.005381749999999952,73.1936517857143,1.1790357142857144,2.8361517857142857,8.552875,3.4081160714285716,5.980455357142857,12.757330357142857,5.508964285714286,293.75919642857144,1.152816649242768,1.1519433153380227,237.1331071428571,3.2276339285714286,0.18926785714285715
usa_11,2013,6,2013-02-08,280.34450000000004,64.28275,12.946571428571428,0.1313928571428571,0.05364285714285712,0.0,45.8705,5.270333517633512,12.225562499999999,0.5100178571428571,0.02141964285714284,0.6190267857142857,10.681348214285714,0.9547767857142857,95.31625892857143,0.7907142857142857,0.004942428571428528,73.27314285714286,1.1798571428571427,2.854294642857143,7.112848214285714,2.0230089285714286,4.567839285714286,11.145553571428572,4.091294642857143,314.10420535714286,1.0534364509146852,1.0526342083588158,270.7985357142857,3.6807232142857145,0.19028571428571428
usa_11,2013,7,2013-02-15,275.7045357142857,76.24357142857143,15.454214285714286,0.13382142857142854,0.06174999999999997,0.000410714285714285,32.049392857142855,5.472606058672532,15.66017857142857,0.9613571428571429,0.017464285714285703,0.6110267857142857,9.0305,0.028526785714285678,95.77989285714285,0.7634642857142857,0.005037857142857102,67.25398214285715,1.1758214285714286,2.335973214285714,8.693526785714287,2.062589285714286,5.377803571428571,13.542714285714286,4.995508928571429,304.91029464285714,1.166707505178762,1.165889929856481,208.09281249999998,2.7583035714285713,0.19092857142857142
usa_11,2013,8,2013-02-22,277.68807142857145,75.27771428571428,15.123107142857142,0.1279285714285714,0.07528571428571425,0.0,49.091678571428574,5.766277865261088,15.041196428571428,0.6595267857142857,0.01822321428571427,0.6037232142857143,11.387071428571428,0.8026964285714285,95.33024107142857,0.8416071428571428,0.0046331785714285225,71.33571428571429,1.1831875,3.3885357142857147,6.503660714285713,1.085330357142857,3.794660714285714,10.539232142857141,3.286785714285714,330.92330357142856,1.0074037642696818,1.0066515647948329,275.1969553571429,4.6083839285714285,0.1920625
usa_11,2013,9,2013-03-01,285.34871428571427,83.46225,16.661571428571428,0.1284285714285714,0.09578571428571424,0.007249999999999995,40.4425,6.133640038118299,16.985651785714285,0.9929910714285715,0.01289285714285714,0.5909107142857143,8.099107142857143,0.2433303571428571,95.90820535714286,1.0408214285714286,0.005360053571428525,68.33225,1.1741607142857142,1.245830357142857,9.677883928571429,2.988455357142857,6.333125,14.448883928571428,5.9662589285714285,293.7452767857143,1.2360695676283713,1.2351998399145334,241.6421785714286,3.3185000000000002,0.1934642857142857
usa_11,2013,10,2013-03-08,291.74478571428574,81.0962142857143,16.073785714285712,0.12853571428571425,0.11521428571428567,0.0,57.840857142857146,5.918072829664552,16.480428571428572,0.7613749999999999,0.021294642857142842,0.5874196428571429,9.675053571428572,1.9961339285714286,95.3341875,0.9438571428571428,0.005262223214285667,74.18205357142857,1.1762946428571428,2.918482142857143,8.18957142857143,3.2088571428571426,5.699392857142857,12.276937499999999,4.976401785714286,345.2910625,1.1165354346105336,1.115681346589914,246.4586607142857,3.704919642857143,0.19454464285714285
usa_11,2013,11,2013-03-15,301.28210714285717,93.12082142857143,18.47632142857143,0.12471428571428567,0.10728571428571423,0.1614642857142857,52.454214285714286,7.1148063068860194,20.386785714285715,1.2743660714285714,0.0006249999999999944,0.5804553571428571,5.426544642857143,0.04574999999999998,95.57398214285715,0.9480357142857143,0.005992767857142809,66.90386607142857,1.1594017857142858,0.7437767857142857,12.519375,4.888866071428572,8.704205357142857,17.786526785714287,8.283758928571428,279.2190267857143,1.4786486445700402,1.4776765095857753,262.71329464285714,3.592303571428572,0.19541071428571427
usa_11,2013,12,2013-03-22,286.4734642857143,99.1425,19.669464285714287,0.12874999999999998,0.11764285714285712,0.0016785714285714262,47.08482142857143,6.948569948736884,18.20294642857143,0.9665357142857142,0.00016964285714285375,0.5653125,7.343464285714286,0.7415535714285715,95.34973214285715,1.116,0.0053919821428570994,66.09161607142858,1.1665178571428572,0.46553571428571433,10.568803571428571,3.2037053571428573,6.885991071428572,15.410357142857142,6.506866071428571,291.9435089285714,1.2994820028787823,1.2986070180107272,269.3053125,3.8873928571428573,0.19608035714285715
usa_11,2013,13,2013-03-29,318.1518571428571,92.88464285714285,17.987964285714288,0.12339285714285711,0.14314285714285713,0.03782142857142856,68.78264285714286,6.479957352813139,16.05607142857143,0.7254732142857143,0.0003214285714285675,0.5511517857142857,5.936214285714286,0.9864642857142856,95.21870535714285,1.4459285714285715,0.006467142857142813,72.98223214285714,1.1587232142857142,0.3444285714285714,12.032892857142858,6.098017857142857,9.065642857142858,16.528267857142858,8.275241071428571,319.38023214285715,1.4277899158591059,1.4267410953591417,216.34484821428572,2.5099375,0.19676785714285713
usa_11,2013,14,2013-04-05,317.91360714285713,99.04103571428571,19.157,0.11960714285714283,0.14899999999999997,0.01841964285714285,66.0605357142857,7.05559296804053,17.07900892857143,0.73075,0.0008571428571428518,0.5474107142857143,5.539035714285714,0.9428482142857144,95.44182142857143,1.5065,0.006860669642857096,75.69742857142857,1.1604285714285714,0.8528125,12.360678571428572,7.081625,9.7210625,16.924678571428572,8.636169642857144,316.69573214285714,1.4574992501680077,1.4563868393157002,262.0268392857143,2.91775,0.1974732142857143
